"latitude","longitude","count"
"25.7716","-80.1887","189"
"26.4568","-80.1888","95"
"25.7671","-80.1930","93"
"39.4252","-80.1940","4"
"26.6483","-80.2004","85"
"41.6196","-80.2044","8"
"26.7012","-80.2044","140"
"26.0257","-80.2281","39"
"27.1745","-80.2351","5"
"35.8185","-80.2423","1"
"25.7291","-80.2443","61"
"26.2425","-80.2446","49"
"40.5111","-80.2458","3"
"36.0982","-80.2497","10"
"38.9960","-80.2536","4"
"26.3004","-80.2557","116"
"36.0699","-80.2572","4"
"25.7504","-80.2599","11"
"25.7323","-80.2608","85"
"26.6639","-80.2671","3"
"26.1771","-80.2678","92"
"39.3143","-80.2702","64"
"26.1035","-80.2725","57"
"27.2403","-80.2754","50"
"36.1743","-80.2758","138"
"25.7052","-80.2861","201"
"25.8664","-80.2984","19"
"26.0102","-80.3056","77"
"40.6817","-80.3078","17"
"25.9132","-80.3104","96"
"26.1547","-80.3219","44"
"27.4219","-80.3283","25"
"25.8071","-80.3319","49"
"36.0683","-80.3343","78"
"25.6441","-80.3385","41"
"26.0322","-80.3560","287"
"26.0116","-80.3595","43"
"26.1046","-80.3613","44"
"25.5756","-80.3683","97"
"25.6943","-80.3723","2732"
"33.9539","-80.3766","71"
"41.0069","-80.3788","29"
"25.7884","-80.3802","109"
"25.7446","-80.3912","95"
"27.6294","-80.3925","30"
"37.2115","-80.4013","19"
"27.3148","-80.4139","47"
"37.2301","-80.4157","2"
"37.1637","-80.4287","74"
"37.8131","-80.4355","22"
"41.2304","-80.4547","41"
"27.6431","-80.4596","23"
"35.6511","-80.4624","48"
"41.2355","-80.4647","1"
"25.4692","-80.4774","50"
"35.0077","-80.5637","30"
"37.1426","-80.5795","1"
"35.4403","-80.6027","32"
"40.0738","-80.6134","17"
"36.4973","-80.6190","3"
"35.4982","-80.6245","4"
"41.0211","-80.6349","15"
"41.0243","-80.6447","5"
"35.0517","-80.6464","107"
"28.0862","-80.6522","25"
"41.0212","-80.6595","35"
"28.0417","-80.6632","62"
"27.9974","-80.6672","65"
"28.3544","-80.6866","111"
"28.0767","-80.6983","67"
"32.2160","-80.7032","11"
"35.3333","-80.7194","191"
"35.3703","-80.7260","468"
